,title,author,data,heat,name
0,求一本老书，主角女朋友老妈是写工口小说的。,礼拜六大魔王,2018-01-17,0,
1,诸位老铁，最近没清末民初的历史文看了吗？我想看造反文啊 ...,领证,2018-01-01,50,"赤色黎明,大逆转1906,辛亥大英雄,天朝之梦,1892铁血中华,北洋反动派,民国投机者,慈禧的这一生,鹿鼎记,篡清,亮剑,红色大亨传,铁血大民国,民国往事,1942风起南洋,1911新中华,1852铁血中华"
2,《道君》又一配角惨遭绿帽，孩子都有了。啧啧啧,毒瘾发作,2018-01-17,17,
3,有没有主角真心想过平静生活的都市小说,岸波·扎比子,2018-01-14,32,"母巢系统创世纪,万能空间,精分写手成神记,隐匿重生,重生之大玩家,梦想为王,高山牧场,重生之小玩家,重生之地产大亨,美女赢家,香江豪门,临时监护人,没事儿玩修炼,拳镇山河,隐杀,无穷重阻,都市神话,石头牧场,精灵农场,超级电力强国,重返1977"
4,求书，穿越笑傲江湖的,小小心凉,2018-01-17,3,颠覆笑傲江湖
5,《战国野心家》有点名不副实,折翼的秀吉,2018-01-17,21,"秦吏,唐朝工科生"
6,有没有穿越法鸡直接把纳粹按死在开战时刻的？,藤曼,2018-01-13,66,"花与剑与法兰西,帝国法兰西"
7,突然有个想法，大开后宫的，jj忙的过来吗？,情人成兄妹,2018-01-16,161,"诽谤罪,我的尤物老婆,骑士的血脉,十项全能,历史粉碎机"
8,求推荐些以全面战争为金手指的小说,F弦上德诗与咏,2018-01-17,6,"帝国之全面战争,海盗旗飘扬,帝国从来没有神圣的吧"
9,推本春秋战国的书《战国野心家》，看了一半赶紧来推荐了,七棵树,2018-01-16,51,"秦吏,战国野心家,孟子·滕文公下,墨子"
10,推荐《日月当空照中华》,xiaosewh,2017-11-24,228,"五年平辽,国榷,崇祯长编,日月当空照中华,窃明,挽明"
11,【书单2017】年度推书是推书版的特色，不得不尝试,viper19821215,2018-01-06,19,"银河英雄传说,大唐西域直播记,灌篮高手,惊悚,王小军,86不存在的战区,降头师,铁掌无敌王小军,苗疆蛊事,惊悚乐园,生死寻人,鬼喊,棋魂,零之使魔,[综英美]第一人称非复数,贩罪,三月的狮子,强人,禽兽不如的穿越女,[综英美剧]夜的第七章,我的百鬼夜行哪有这么萌,雅拉冒险笔记,龙王的工作,张小花的第一混乱,纣临,黑兽防御战,我当阴阳先生的那几年,春物,天才魔法师与天然呆勇者,[西游]原来我是唐和尚,兽娘永不为奴,龙与虎,放开那个女巫"
12,京紫同人,可雕的朽木,2018-01-16,15,"紫罗兰永恒花园之守护者,黑兽防御战"
13,求外国人写的重生种田文小说，哪国的都行。,三俗皇帝,2018-01-14,23,"康州美国佬大闹亚瑟王朝,1632"
14,这些年，有哪些书是你一直在等待出宫的,lalahuba,2018-01-07,239,"昆古尼尔,逃亡犯报告,谁主沉浮,陌上行,终南启示录,时空门后二十年,魔记之笑笑笑,游戏狂想曲,王国的建立,大明春,帝国的良心,妄想西游记,平妖传,宋时归,我意逍遥,下围棋</a>,<strong>超级电鳗分身</strong>,异化,云鼎九州,新大明帝国,大宇宙时代,末世之死亡地狱,网游之以德服人,楚氏春秋,超武群侠传,辐射风情画,毁灭世界吧魔王大人,食色无双,量子神格,妖兽帝国,重生之乡路漫长,神奇的淘汰,飘零传奇系列,霍格沃茨的魔文教授,求索,男人的亲王号,赫氏门徒,海贼法典,阴魂,一八九三,元祖无限,迦南之心,半泽直树,材料为王,e轮回,水途,乱世铜炉,冰之无限,海贼之黑旗商会,我姐姐叫妲己,华山,绑架全人类,迷航一六四二,第八日,蚁贼,猎荒传说,江山如此多娇,<strong>炼道长生</strong>,<strong>末日之黎明</strong>,日在地球,奇剑狂法师,半血提督,食遍天下,都市妖奇谈,官路商途,神秘物语,大唐好男人,黑金教父,斗神武装,异血锋芒,圣骑士黎明,猫巫妖的洪荒,仙琉,东海屠,北唐,步甲,爱哭的巫妖,黑暗信仰,成神,酒国色界,万国之门,长征,某科学的宅电磁炮,入侵脑细胞,血流,裁决,镜天传,白五星,空之战,三国之最风流,阴阳学堂,骑射,石陨,电子生涯,微酸学园ABC,新婚妻子,新世纪的德鲁伊</a></strong><strong>,末日在线,迷失在一六二九,现代战争启示录,万妞不当之勇,灌篮之我是赤木刚宪,疯狂进化的虫子,横行霸刀,炼道长生,神的半身,团长养成计划,众星之主,武林启示录,巨星,神秘无语,僵神乾坤,剑种,贵族法则,一击忍者,刺激1995,游戏狂想曲 ,倚天屠龙之魔教教主,暴发仙,无限流传染病,混在东瀛成大亨,屠龙者,修真门派掌门路,官路风流,色心劫"
15,《书单2017》李白乘舟将欲行，2018又文荒,青空之上,2018-01-11,6,"在不正常的地球来餐厅的日子,聊斋好莱坞,捡了本天书,伊塔之柱,直播之工匠大师,乒乓天王,马恩的日常"
16,求华娱类型的重生文,duhanmin,2018-01-15,23,"表演大师,生于1984,最佳影星,最佳影音"
17,求推荐些大唐西域直播记和走进修仙类似的书,无式,2018-01-14,8,"猫巫妖的洪荒,事象的宏图,徐霞客游记,奥术神座"
18,“推书到天荒地老”第十四期,梦回田园,2018-01-17,13,"战国野心家,战略级天使,氪金魔主,文娱大戏精,提瑞尔的黑暗世纪,都市之光荣使命"
19,推一本少见的古埃及题材的穿越小说,楼洪峰,2018-01-17,13,埃及大帝
20,求主角在末世后建立生存基地的小说,一叶落,2018-01-17,8,"末世之宠物为王,末日蟑螂"
21,想问下魂穿了就要接收穿越后身体的一切？,虚设,2018-01-17,35,"逍遥梦路,火影之传说,白首太玄经"
22,求各种非都市的抄书文啊,林中惊变,2018-01-17,4,"穿越红楼去写文,主神调查员,文化入侵异世界,极品家丁,纸上人,娱乐春秋,民国之文豪崛起"
23,西风紧有进步,茧的遐,2017-12-19,12,"平安传,天可汗,十国千娇,乌纱,大明春色,晚明"
24,求都市文，没有女主没有熟女的那种！,大西洋上的风,2018-01-14,51,"我家客人你惹不起,萝莉人妻侦探社"
25,吐槽，民国之文豪崛起越看越难受,东海里的鱼,2018-01-16,93,"飞越三十年,天朝之梦,重生美国当大师,国士无双,重生欧美当大师,中美友好通商航海条约"
26,推书：《大明：征服天堂》,阴天驾云走,2018-01-16,60,"南明史,大明：征服天堂"
27,《勒胡马》主角一开始是在羯人那里吗？,tgbyhn567,2018-01-17,39,
28,求女主是四枫院夜一这种黑皮类型的小说,ludwif,2018-01-16,45,"锦医卫,哈利波特,综漫之无限绿帽,少女革命,破刃之剑,魔炼,蓝宝石之谜,死神之无影刀"
29,受不了了，有没有日军不是那么白痴的抗日文？,兔子红眼了,2018-01-14,125,"我们的二战,抗战之血染山河,攻克柏林,亮剑,最长一日,烽火逃兵,步兵操典,华北治安战,太行智将,交锋,我的兄弟叫顺溜,国破山河在"
30,感觉书荒了，想要去尝试《末世之黑暗召唤师》,树下瓜微凉,2018-01-16,66,"萝莉的异世热血物语,末世之黑暗召唤师,人生长恨水常东,清净经"
31,【1.14神农团】神农何处寻，白骨曝干野。（16/17）,菜De,2018-01-14,77,"大债主系统,<font color=""#333333""><font face=""&amp;quot ""><font style=""font-size: 18px""><strong>我变成了游戏,超品巫师,厨道仙途,两界真武,百炼成仙,母皇饶命,爸爸在这儿,我被系统托管了,</strong></font></font></font><font style=""color:rgb(51, 51, 51)""><font face=""&amp;quot ""><font style=""font-size: 18px""><strong>酋长别打脸,我变成了游戏,三国之天下至尊,聊斋求道,超能垃圾王,凡人修仙传,长风万里尽汉歌,法爷的英雄联盟,酋长别打脸,他从地狱来,大王饶命,大界果,魔境主宰,直播之工匠大师,变成僵尸穿诸天,超品相师,地狱使者,魔境,雪中旱道行"
32,最近在看亮剑，求推一本混红军八路的文,hhzpig,2018-01-02,103,"红星闪耀,城管无敌,重生之红星传奇,红星之钢铁咆哮,烽烟尽处,烽火逃兵,抗战之无双战将,国破山河在,太行智将,西行漫记,杨棒子和他的囚犯小分队,血战旗,浴火重生西路军,异时空之抗日,历史的天空,狼烟起"
33,推荐下书客的《不被我曾经的妹子们讨厌就会死？》,zzy9498,2018-01-01,39,"不被我曾经的妹子们讨厌就会死？,叶的青春不会有错,获得作死系统的我每天都在作死"
34,推书，致四千年后。,骑熊赵公明,2017-12-23,275,"邪恶帝国,酋长,致四千年后,1855美国大亨,国家的主神"
35,求一些奥术神座，走进修仙同类型的小说,kunle3,2018-01-17,1,
36,各位老司机，黑车启动中，速速上车。,穆清,2018-01-03,172,"官路沉沦,官妖,官道之色戒"
37,推书，《都市修仙指南》,萝莉有五种吃法,2018-01-17,10,都市修仙指南
38,2017部分书架分享,岁月如飞,2018-01-12,6,"盗天仙途,最佳影星,幻想世界大穿越,重生美国当大师,寒霜之翼,重走未来路,女装的文艺人生,难道我是神"
39,当一些作者自己设定有问题的时候。,极熊,2018-01-13,20,在线等挺急的
40,男主穿越异界练功类小说个人觉得不太妥当的地方,夜叉大酱,2018-01-12,15,"娱乐春秋,极武天魔"
41,【观水】我的读书经历-2018,观水不语,2018-01-05,19,"大王饶命,赤仙录,末日红旗,关于黑科技的二三事,改革开放魔法界,变形金刚砸地球,仙侠世界的日常,凶鸟猎食图谱,穿的是一种态度,妖王异食录,我的男友是先知,带着系统穿时空,顾道长生,这穿越的画风不对啊,青云争仙,骸骨武士,小兵传奇"
42,别具一格的德鲁伊小说~~~求具体名字,tz235092,2018-01-14,6,新世纪的德鲁伊
43,推荐一本书：《反叛的大魔王》,镜水o,2018-01-09,22,"反叛的大魔王,最后的大魔王,重生2003"
44,《低维游戏》《我家客厅有个副本》挺有意思的,huihate,2018-01-13,6,"我家客厅有个副本,诅咒之龙,我被系统托管了,我的小人国,地球唯一玩家,低维游戏,超维术士"
45,求历史参照系，用别的援共文换,cx1996love,2018-01-14,0,
46,推《我可能活的有点久了》，试毒归来,阴天驾云走,2018-01-09,31,"我可能活的有点久了,这个男人来自地球"
47,求推荐穿越也好重生也罢变成NPC的小说,造化完美,2018-01-14,9,"原住民,江湖遍地卖装备,全职boss,超神机械师,独游,一剑天途"
48,找本系统流 讲忍者的 好像是1年前的,东方沐,2018-01-09,40,一击忍者
